Conn Time., Send Time, Recv Time,,,,,
0.6294,0.0704,2.5107,,,,,
0.4986,0.0267,2.0304,,평균:,Conn Time.,0.33165892,(ms)
0.4334,0.0473,2.1723,,, Send Time,0.03442976,(ms)
0.6282,0.0749,2.8253,,, Recv Time,1.34349283,(ms)
0.7546,0.0627,2.2493,,,,,
0.5692,0.062,2.2845,,표준편차:,Conn Time.,0.123636797,(ms)
0.5408,0.0588,2.0888,,, Send Time,0.020608438,(ms)
0.7071,0.0773,2.4879,,, Recv Time,0.732090917,(ms)
0.6897,0.0474,2.7169,,,,,
0.445,0.0413,2.0802,,,,,
0.5527,0.0446,2.2822,,,,,
0.7678,0.0649,3.0753,,,,,
0.5477,0.0599,1.9955,,,,,
0.4832,0.0522,1.7244,,,,,
0.4743,0.0612,1.8404,,,,,
0.6207,0.058,2.9368,,,,,
0.6604,0.0649,3.0151,,,,,
0.5834,0.0692,2.3419,,,,,
0.4674,0.0419,1.4416,,,,,
0.4825,0.0524,1.824,,,,,
0.5956,0.0657,3.7165,,,,,
0.6712,0.0621,2.2487,,,,,
0.6249,0.0591,1.6164,,,,,
0.3802,0.018,1.3591,,,,,
0.3617,0.0197,2.3293,,,,,
0.4076,0.0593,2.3188,,,,,
0.5711,0.0653,2.1416,,,,,
0.6153,0.0678,2.3203,,,,,
0.5605,0.0575,2.1494,,,,,
0.6,0.0873,2.3412,,,,,
0.5468,0.0638,2.1304,,,,,
0.509,0.0266,2.1121,,,,,
0.4654,0.0562,2.1634,,,,,
0.5462,0.0593,3.4412,,,,,
0.5964,0.0733,2.6223,,,,,
0.5491,0.0527,2.7181,,,,,
0.6149,0.064,2.0243,,,,,
0.5782,0.0596,2.1822,,,,,
0.4904,0.0416,1.4663,,,,,
0.4899,0.0553,1.702,,,,,
0.5342,0.0556,2.2313,,,,,
0.4844,0.0423,1.6622,,,,,
0.3738,0.046,1.9521,,,,,
0.5473,0.0215,1.9804,,,,,
0.6822,0.0518,1.8939,,,,,
0.386,0.0191,1.8832,,,,,
0.5438,0.0578,2.0635,,,,,
0.5339,0.0553,2.0961,,,,,
0.5815,0.0623,1.9526,,,,,
0.416,0.0401,1.699,,,,,
0.3581,0.0419,1.4778,,,,,
0.4657,0.0181,1.694,,,,,
0.266,0.0173,1.4712,,,,,
0.3561,0.0182,1.9578,,,,,
0.4761,0.0518,1.5037,,,,,
0.4012,0.0411,1.3692,,,,,
0.3507,0.0435,1.1991,,,,,
0.3025,0.0356,1.019,,,,,
0.256,0.0341,0.9866,,,,,
0.2421,0.0368,1.0177,,,,,
0.2421,0.035,1.2499,,,,,
0.5051,0.115,1.999,,,,,
0.5022,0.054,1.5524,,,,,
0.357,0.0377,1.0219,,,,,
0.274,0.0354,1.0535,,,,,
0.2835,0.035,1.0182,,,,,
0.2393,0.034,0.9712,,,,,
0.2546,0.0365,1.0534,,,,,
0.2181,0.0126,0.9923,,,,,
0.2829,0.0671,1.7976,,,,,
0.5125,0.0283,2.2598,,,,,
0.4839,0.0558,2.4803,,,,,
0.4623,0.0576,1.4171,,,,,
0.4293,0.0541,1.2783,,,,,
0.3616,0.0481,1.5498,,,,,
0.5999,0.0614,2.192,,,,,
0.5781,0.0597,2.176,,,,,
0.5171,0.0574,1.3243,,,,,
0.453,0.0546,1.7089,,,,,
0.4628,0.0182,1.409,,,,,
0.4494,0.0622,2.5046,,,,,
0.537,0.0587,2.6154,,,,,
0.4812,0.0557,1.6396,,,,,
0.5085,0.058,2.1609,,,,,
0.53,0.0569,2.5202,,,,,
0.6149,0.0667,2.1488,,,,,
0.5725,0.0586,2.0956,,,,,
0.4967,0.0531,2.1647,,,,,
0.4532,0.041,1.4149,,,,,
0.3153,0.026,2.0365,,,,,
0.5924,0.0581,1.9759,,,,,
0.4832,0.026,1.7363,,,,,
0.411,0.0184,1.61,,,,,
0.292,0.0435,1.1189,,,,,
0.3692,0.0186,1.4437,,,,,
0.3017,0.036,1.0318,,,,,
0.2434,0.0145,1.8181,,,,,
0.5011,0.0415,1.4642,,,,,
0.3526,0.0546,1.1116,,,,,
0.2228,0.0129,1.0871,,,,,
0.2262,0.0128,0.9904,,,,,
0.2109,0.0127,0.9999,,,,,
0.2112,0.0124,0.9634,,,,,
0.213,0.036,1.0579,,,,,
0.3042,0.0209,2.3258,,,,,
0.5767,0.0617,1.4256,,,,,
0.3663,0.0177,1.4244,,,,,
0.2664,0.0348,1.3622,,,,,
0.2975,0.0359,0.9903,,,,,
0.2461,0.0159,1.1411,,,,,
0.2899,0.0373,1.0134,,,,,
0.2217,0.0135,1.0074,,,,,
0.2335,0.0134,1.8047,,,,,
0.5298,0.0616,1.5112,,,,,
0.4409,0.0478,1.8156,,,,,
0.4512,0.0566,1.4661,,,,,
0.5137,0.0586,1.4203,,,,,
0.4734,0.0531,1.4344,,,,,
0.5783,0.0564,2.3564,,,,,
0.5496,0.0697,2.1933,,,,,
0.4326,0.0185,1.8112,,,,,
0.438,0.0525,1.6699,,,,,
0.465,0.0525,1.3684,,,,,
0.4304,0.0504,1.8109,,,,,
0.6868,0.0677,2.4186,,,,,
0.5572,0.0428,1.5507,,,,,
0.4517,0.0552,2.0147,,,,,
0.5101,0.0554,1.3625,,,,,
0.3775,0.0482,1.2304,,,,,
0.4593,0.0609,2.8498,,,,,
0.4212,0.0208,2.9736,,,,,
0.5623,0.0432,1.9091,,,,,
0.4911,0.0562,1.2598,,,,,
0.4453,0.0519,1.3617,,,,,
0.591,0.0601,2.0673,,,,,
0.5289,0.0551,2.0711,,,,,
0.5323,0.0542,1.8662,,,,,
0.4083,0.0409,1.9266,,,,,
0.5121,0.0568,1.6844,,,,,
0.5097,0.0844,2.2791,,,,,
0.4805,0.0194,2.5034,,,,,
0.4731,0.0182,1.275,,,,,
0.2877,0.0148,1.4584,,,,,
0.6016,0.0626,2.1407,,,,,
0.5324,0.0572,2.7746,,,,,
0.5537,0.0655,2.3502,,,,,
0.5417,0.0669,1.597,,,,,
0.5343,0.026,2.2546,,,,,
0.5719,0.0722,2.1305,,,,,
0.5804,0.072,2.6003,,,,,
0.5933,0.064,2.6461,,,,,
0.4937,0.0195,2.3033,,,,,
0.4988,0.0593,2.8681,,,,,
0.8609,0.137,3.9491,,,,,
0.5506,0.0696,3.475,,,,,
0.585,0.0668,3.0371,,,,,
0.802,0.1366,3.8775,,,,,
0.5285,0.0572,2.3799,,,,,
0.5514,0.059,1.9774,,,,,
0.5818,0.1772,2.0849,,,,,
0.5609,0.0292,2.3087,,,,,
0.517,0.0619,3.5686,,,,,
0.5163,0.0282,2.4674,,,,,
