grade-1,grade-2,grade-3,grade-4,grade-5,grade-6,grade-7,grade-8
79,70,61,51,39,29,22,18
90,82,71,60,46,32,24,17
85,76,65,54,41,29,22,17
91,83,73,61,46,32,21,18
95,89,79,67,53,39,26,18
96,90,81,69,52,33,22,17
90,82,73,62,48,33,23,18
94,88,78,66,49,32,23,19
76,66,56,47,38,30,23,19
90,82,73,61,47,33,24,16
85,76,67,56,44,31,22,18
91,84,75,62,47,32,22,18
91,84,75,62,48,33,23,17
87,78,69,58,44,30,22,17
88,80,72,61,47,31,22,17
80,72,63,53,42,33,25,20
90,81,71,60,46,33,25,18
90,83,75,62,46,34,24,18
93,88,80,69,57,41,26,19
82,74,65,55,43,33,24,19
89,80,71,58,44,29,21,16
95,88,79,67,53,37,25,19
93,87,77,67,51,36,23,16
86,76,66,55,44,33,24,19
92,84,74,63,49,35,25,18
97,92,87,78,64,46,26,17
92,85,75,63,49,34,23,17
93,87,78,66,53,39,26,19
81,69,57,42,28,17,13,10
84,73,57,38,22,15,12,9
84,72,58,40,24,16,13,9
84,74,63,49,31,16,13,9
85,73,60,45,29,19,14,10
84,71,58,42,26,17,12,9
80,69,55,38,22,17,11,8
80,71,62,47,27,17,14,9
89,79,63,46,31,20,13,10
88,79,63,44,26,16,13,8
79,66,53,41,28,18,13,10
88,78,67,53,34,19,14,8
80,70,61,52,40,28,19,12
89,84,73,61,47,33,20,13
89,83,73,59,43,29,19,13
85,77,70,60,46,33,22,14
85,77,67,54,37,23,13,11
92,84,73,59,45,30,19,14
88,77,63,50,39,30,20,14
85,74,64,52,41,30,20,13
84,77,66,52,36,22,14,11
84,72,60,48,37,27,17,11
88,77,65,51,39,29,20,13
87,76,63,49,34,25,18,13
92,81,70,58,42,27,17,12
88,73,54,33,21,16,12,9
85,72,60,50,40,30,22,14
87,78,66,51,38,27,19,13
76,63,48,33,21,14,12,9
81,69,53,36,24,15,12,9
84,70,53,33,21,14,12,9
80,70,56,42,28,18,12,10
87,77,61,41,25,17,13,10
87,73,54,35,22,15,12,9
84,69,54,38,24,15,11,10
76,65,52,39,27,18,13,9
88,77,60,36,20,15,11,9
73,59,44,30,21,15,12,9
80,69,55,40,29,19,13,10
65,53,43,33,23,17,12,9
88,73,53,37,24,17,13,10
88,77,65,53,41,30,21,14
83,65,48,35,25,18,14,11
81,67,51,35,24,17,12,9
